time,cwnd
116.642,3.33333
116.748,3.66667
116.852,4
116.957,4.25
117.055,4.5
117.162,4.75
117.264,5
117.365,5.2
117.466,5.4
117.595,5.6
117.696,5.8
118.7,1
118.813,2
118.935,2.5
119.936,1
120.957,1
121.067,2
122.071,1
123.076,1
124.081,1
125.088,1
125.197,2
125.309,2.5
125.409,3
125.519,3.33333
125.621,3.66667
125.725,4
125.827,4.25
125.93,4.5
126.032,4.75
126.135,5
126.236,5.2
126.338,5.4
127.339,1
127.445,2
127.554,2.5
127.668,3
127.804,3.33333
127.909,3.66667
128.054,4
129.056,1
129.163,2
129.278,2.5
129.379,3
129.479,3.33333
129.582,3.66667
129.687,4
129.802,4.25
129.916,4.5
130.015,4.75
130.119,5
130.221,5.2
130.344,5.4
131.346,1
131.489,2
131.599,2.5
131.713,3
132.716,1
132.839,2
132.955,2.5
133.055,3
133.162,3.33333
133.273,3.66667
133.382,4
133.489,4.25
134.493,1
134.607,2
134.72,2.5
134.822,3
134.941,3.33333
135.076,3.66667
135.179,4
136.185,1
136.295,2
136.404,2.5
137.413,1
137.519,2
137.624,2.5
137.725,3
137.828,3.33333
137.932,3.66667
138.033,4
138.138,4.25
138.244,4.5
138.35,4.75
138.456,5
138.561,5.2
138.663,5.4
138.782,5.6
138.87,5.8
138.972,6
139.079,6.16667
139.185,6.33333
140.185,1
140.293,2
141.295,1
141.42,2
141.524,2.5
141.628,3
141.736,3.33333
141.832,3.66667
141.934,4
142.935,1
143.04,2
143.144,2.5
143.255,3
143.36,3.33333
143.467,3.66667
143.57,4
143.671,4.25
143.774,4.5
143.876,4.75
143.99,5
144.133,5.2
144.212,5.4
144.319,5.6
144.441,5.8
145.445,1
145.574,2
145.703,2.5
145.834,3
145.926,3.33333
146.042,3.66667
146.137,4
146.255,4.25
146.352,4.5
146.478,4.75
146.572,5
146.673,5.2
146.785,5.4
146.892,5.6
146.99,5.8
147.094,6
147.198,6.16667
147.302,6.33333
147.401,6.5
147.503,6.66667
147.61,6.83333
147.711,7
148.711,1
148.82,2
148.945,3
149.946,1
150.057,2
150.18,2.5
150.281,3
150.387,3.33333
150.491,3.66667
150.594,4
150.702,4.25
150.808,4.5
150.913,4.75
151.013,5
151.114,5.2
151.222,5.4
152.222,1
152.33,2
152.436,2.5
152.54,3
152.676,3.33333
152.791,3.66667
152.924,4
153.041,4.25
154.042,1
154.168,2
154.295,2.5
154.406,3
154.51,3.33333
154.616,3.66667
154.719,4
154.855,4.25
154.961,4.5
155.969,1
156.973,1
157.084,2
157.186,2.5
158.188,1
159.194,1
159.305,2
159.428,2.5
159.531,3
159.634,3.33333
159.737,3.66667
159.842,4
160.844,1
160.959,2
161.065,2.5
161.168,3
162.168,1
162.273,2
162.381,2.5
162.485,3
162.588,3.33333
163.592,1
163.704,2
163.811,2.5
164.819,1
164.927,2
165.031,2.5
165.134,3
166.141,1
166.297,2
166.41,2.5
167.419,1
167.536,2
168.537,1
168.666,2
168.775,2.5
168.881,3
168.976,3.33333
169.078,3.66667
169.18,4
169.291,4.25
169.393,4.5
169.497,4.75
169.606,5
169.717,5.2
169.825,5.4
169.927,5.6
170.026,5.8
170.129,6
170.23,6.16667
171.233,1
171.339,2
172.341,1
172.446,2
173.452,1
173.58,2
173.685,2.5
174.686,1
174.793,2
174.907,2.5
175.023,3
175.131,3.33333
176.132,1
176.248,2
176.352,2.5
176.457,3
176.567,3.33333
176.689,3.66667
176.789,4
177.79,1
178.856,1
178.963,2
179.966,1
180.071,2
180.179,2.5
180.282,3
180.44,3.33333
180.541,3.66667
180.645,4
180.759,4.25
180.86,4.5
180.962,4.75
181.064,5
181.168,5.2
182.178,1
182.294,2
183.298,1
183.449,2
183.555,2.5
183.663,3
184.68,1
184.79,2
184.898,2.5
184.996,3
185.098,3.33333
185.253,3.66667
185.344,4
186.348,1
186.47,2
186.576,2.5
186.684,3
186.806,3.33333
186.917,3.66667
187.018,4
187.122,4.25
188.124,1
188.238,2
188.345,2.5
188.448,3
188.596,3.33333
188.697,3.66667
189.699,1
190.705,1
190.821,2
190.924,2.5
191.029,3
191.13,3.33333
191.235,3.66667
191.342,4
192.345,1
192.453,2
192.559,2.5
192.658,3
192.792,3.33333
192.891,3.66667
192.994,4
193.995,1
194.106,2
195.125,1
195.256,2
195.359,2.5
195.464,3
196.485,1
196.599,2
196.708,2.5
196.818,3
196.929,3.33333
197.091,3.66667
197.195,4
198.206,1
199.213,1
199.318,2
199.428,2.5
199.529,3
199.632,3.33333
199.732,3.66667
199.845,4
199.949,4.25
200.057,4.5
201.074,1
201.191,2
202.193,1
203.198,1
203.303,2
203.408,2.5
203.51,3
203.655,3.33333
203.763,3.66667
203.866,4
203.97,4.25
204.08,4.5
204.187,4.75
205.189,1
205.418,2
205.572,2.5
205.693,3
205.808,3.33333
205.908,3.66667
206.018,4
206.12,4.25
206.222,4.5
206.325,4.75
207.326,1
208.331,1
209.338,1
209.454,2
209.568,2.5
210.569,1
210.687,2
210.798,2.5
210.909,3
211.012,3.33333
211.12,3.66667
211.224,4
211.326,4.25
211.463,4.5
211.572,4.75
211.675,5
211.776,5.2
212.777,1
212.89,2
212.999,2.5
214.012,1
214.129,2
214.236,2.5
214.339,3
215.342,1
216.352,1
216.459,2
216.567,2.5
216.671,3
216.773,3.33333
216.877,3.66667
216.979,4
217.081,4.25
217.187,4.5
217.288,4.75
217.389,5
217.491,5.2
217.594,5.4
218.597,1
218.723,2
218.83,2.5
218.936,3
219.075,3.33333
219.156,3.66667
219.259,4
219.359,4.25
219.46,4.5
219.561,4.75
219.663,5
219.765,5.2
219.866,5.4
219.976,5.6
220.079,5.8
220.184,6
220.31,6.16667
220.41,6.33333
220.512,6.5
220.614,6.66667
220.716,6.83333
221.718,1
221.825,2
221.937,3
222.94,1
223.051,2
223.154,2.5
224.156,1
224.266,2
224.393,2.5
224.483,3
224.598,3.33333
224.7,3.66667
224.802,4
224.907,4.25
225.012,4.5
226.013,1
227.016,1
228.024,1
228.129,2
229.157,1
229.269,2
229.375,2.5
229.476,3
229.576,3.33333
230.576,1
230.687,2
231.688,1
231.815,2
231.92,2.5
232.029,3
233.038,1
233.181,2
233.294,2.5
233.394,3
233.493,3.33333
233.6,3.66667
233.701,4
233.803,4.25
233.905,4.5
234.008,4.75
234.114,5
234.216,5.2
234.34,5.4
234.441,5.6
234.543,5.8
234.647,6
234.75,6.16667
234.857,6.33333
234.959,6.5
235.089,6.66667
235.19,6.83333
235.303,7
235.405,7.14286
235.528,7.28571
235.66,7.42857
235.76,7.57143
235.863,7.71429
235.964,7.85714
236.067,8
236.172,8.125
236.275,8.25
236.379,8.375
236.48,8.5
236.582,8.625
236.683,8.75
236.793,8.875
236.907,9
237.912,1
238.018,2
238.124,3
238.226,4
239.231,1
239.381,2
239.523,2.5
239.634,3
239.735,3.33333
239.839,3.66667
239.955,4
240.055,4.25
241.056,1
241.181,2
241.287,2.5
241.391,3
241.498,3.33333
241.6,3.66667
241.701,4
241.808,4.25
241.929,4.5
242.041,4.75
242.163,5
243.163,1
244.174,1
245.192,1
245.316,2
246.316,1
246.426,2
246.532,2.5
247.532,1
247.647,2
248.648,1
248.764,2
248.87,2.5
248.975,3
249.081,3.33333
249.184,3.66667
249.294,4
249.394,4.25
249.502,4.5
250.502,1
251.506,1
251.612,2
251.719,2.5
251.822,3
251.928,3.33333
252.033,3.66667
252.144,4
252.25,4.25
252.355,4.5
252.469,4.75
252.561,5
253.562,1
253.692,2
253.801,2.5
253.982,3
254.983,1
255.092,2
255.194,2.5
255.318,3
255.419,3.33333
255.522,3.66667
255.629,4
256.634,1
256.774,2
257.776,1
258.788,1
258.895,2
259.001,2.5
259.146,3
259.246,3.33333
259.352,3.66667
259.458,4
259.571,4.25
259.672,4.5
259.778,4.75
259.876,5
259.98,5.2
260.085,5.4
260.193,5.6
261.198,1
261.316,2
261.425,2.5
261.544,3
261.658,3.33333
261.755,3.66667
261.88,4
262,4.25
262.101,4.5
262.205,4.75
262.306,5
262.409,5.2
262.512,5.4
262.614,5.6
263.648,1
263.785,2
263.917,2.5
264.917,1
265.923,1
266.027,2
266.146,2.5
266.249,3
266.35,3.33333
267.357,1
267.488,2
267.63,2.5
267.763,3
268.766,1
268.89,2
269.897,1
270.033,2
270.155,2.5
271.156,1
271.265,2
271.381,2.5
271.49,3
271.597,3.33333
272.6,1
272.707,2
272.819,2.5
272.977,3
273.986,1
274.1,2
274.209,2.5
274.311,3
275.316,1
275.435,2
275.556,2.5
275.665,3
275.774,3.33333
275.875,3.66667
276.008,4
276.113,4.25
277.114,1
277.219,2
278.224,1
279.232,1
279.344,2
279.451,2.5
280.451,1
280.57,2
280.676,2.5
280.78,3
280.904,3.33333
281.007,3.66667
282.008,1
282.116,2
282.228,2.5
282.334,3
283.351,1
283.486,2
283.614,2.5
283.717,3
283.822,3.33333
284.822,1
284.948,2
285.067,2.5
285.175,3
285.287,3.33333
285.387,3.66667
285.509,4
285.61,4.25
285.713,4.5
285.814,4.75
285.917,5
286.918,1
287.925,1
288.031,2
289.032,1
289.142,2
289.261,2.5
290.262,1
290.376,2
290.485,2.5
291.488,1
291.608,2
292.61,1
292.736,2
292.842,2.5
292.945,3
