time,cwnd
21.8697,7.57143
21.8737,7.71429
21.8738,7.85714
21.8754,8
21.8755,8.125
21.8774,8.25
21.8775,8.375
21.8794,8.5
21.8816,8.625
21.884,8.75
21.8841,8.875
21.8841,9
21.8878,9.11111
21.8879,9.22222
21.8904,9.33333
21.8904,9.44444
21.8905,9.55556
21.8905,9.66667
21.8937,9.77778
21.8993,9.88889
21.8999,10
21.9,10.1
21.9,10.2
21.9066,10.3
21.907,10.4
21.9075,10.5
21.9075,10.6
21.9075,10.7
21.9118,10.8
21.9222,10.9
21.9223,11
21.9223,11.1
21.9223,11.1909
21.9224,11.2818
21.9286,11.3727
21.9287,11.4636
21.9287,11.5545
21.9395,11.6455
21.9396,11.7364
21.9453,11.8273
21.9664,11.9182
21.9707,12.0091
21.9988,12.0924
21.9988,12.1758
21.9988,12.2591
21.9988,12.3424
21.9988,12.4258
21.9988,12.5091
21.9989,12.5924
21.9989,12.6758
21.9993,12.7591
22.0023,12.8424
22.0023,12.9258
22.0023,13.0091
22.0086,13.086
22.0086,13.1629
22.0107,13.2399
22.0183,13.3168
23.0208,1
23.0267,2
23.0285,3
23.0293,4
23.0308,5
23.0479,6
23.0479,6.16667
23.05,6.33333
23.0556,6.5
23.0573,6.66667
23.0573,6.83333
23.0772,7
24.0806,1
24.0992,2
24.1071,3
24.1073,3.33333
24.1219,3.66667
24.1223,4
24.1223,4.25
24.1316,4.5
24.1318,4.75
24.1319,5
24.1319,5.2
24.142,5.4
24.1422,5.6
24.1422,5.8
24.1423,6
24.1423,6.16667
24.1795,6.33333
24.1796,6.5
24.1796,6.66667
24.1796,6.83333
24.1987,7
24.1988,7.14286
24.1988,7.28571
24.2204,7.42857
24.2204,7.57143
24.2206,7.71429
24.2206,7.85714
24.2248,8
24.2249,8.125
24.2431,8.25
24.2431,8.375
24.2431,8.5
24.2431,8.625
24.2432,8.75
24.2467,8.875
24.2468,9
24.254,9.11111
24.2715,9.22222
24.297,9.33333
24.2971,9.44444
24.2971,9.55556
24.2971,9.66667
24.2972,9.77778
24.2972,9.88889
24.2972,10
24.2972,10.1
24.3018,10.2
24.3019,10.3
24.3019,10.4
24.3081,10.5
24.3082,10.6
24.3082,10.7
24.3082,10.8
24.3095,10.9
24.316,11
24.316,11.1
24.3161,11.1909
24.3161,11.2818
24.3161,11.3727
25.3207,1
25.34,2
