time,cwnd
9.9e-08,1
0.00161563,2
0.00311398,3
0.00312985,4
0.00618895,5
0.00624962,6
0.00626032,7
0.00626615,8
0.00917418,9
0.00919694,10
0.00920279,11
0.0092083,12
0.00921472,13
0.0105105,14
0.0105291,15
0.010535,16
0.0105401,16.0625
0.0105435,16.125
0.0105467,16.1875
0.0105498,16.25
0.0117296,16.3125
0.0117424,16.375
0.0117462,16.4375
0.0117495,16.5
0.0117525,16.5625
0.011756,16.625
0.0130722,16.6875
0.0130848,16.75
0.0130886,16.8125
0.0130917,16.875
0.0130947,16.9375
0.0130975,17
0.0131031,17.0588
0.0142908,17.1176
0.0143028,17.1765
0.0152696,17.2353
0.015328,17.2941
0.0153582,17.3529
0.0153726,17.4118
0.0154756,17.4706
0.0154912,17.5294
0.0154952,17.5882
0.0154981,17.6471
0.0155108,17.7059
0.0155159,17.7647
0.0155202,17.8235
0.0155239,17.8824
0.0173254,17.9412
0.0173414,18
0.0173636,18.0588
0.0174111,18.1144
0.0174239,18.1699
0.0174369,18.2255
0.0174506,18.281
0.0174633,18.3366
0.0174758,18.3922
0.0174884,18.4477
0.0207724,18.5033
0.0208045,18.5588
0.0234127,18.6144
0.0234308,18.6699
0.0234573,18.7255
0.0234614,18.781
0.0234651,18.8366
0.0234692,18.8922
0.0234726,18.9477
0.0234759,19.0033
0.0234814,19.0559
0.0234847,19.1085
0.0246663,19.1612
0.0248551,19.2138
0.0259698,19.2664
0.0259821,19.3191
0.0259866,19.3717
0.0272086,19.4243
0.0272218,19.477
0.0272263,19.5296
0.0283005,19.5822
0.0283097,19.6348
0.0283133,19.6875
0.0287035,19.7401
0.0287113,19.7927
0.0303454,19.8454
0.030354,19.898
0.0303577,19.9506
0.0303612,20.0033
0.0303665,20.0533
0.0303695,20.1033
0.0303736,20.1533
0.0303767,20.2033
0.03038,20.2533
0.0303831,20.3033
0.0315596,20.3533
0.0315728,20.4033
0.0315774,20.4533
0.0315809,20.5033
0.0315841,20.5533
0.0316017,20.6033
0.0329848,20.6533
0.0329992,20.7033
0.0330042,20.7533
0.033008,20.8033
0.0343009,20.8533
0.0343126,20.9033
0.0343168,20.9533
0.0343202,21.0033
0.0343236,21.0509
0.0343286,21.0985
0.034332,21.1461
0.0363703,21.1937
0.0364646,21.2414
0.0364691,21.289
0.0364724,21.3366
0.0364756,21.3842
0.0364786,21.4318
0.0364818,21.4795
0.0364848,21.5271
0.0364879,21.5747
0.036491,21.6223
0.0364942,21.6699
0.0364971,21.7176
0.0365004,21.7652
0.0365037,21.8128
0.0365073,21.8604
0.0381403,21.908
0.0381554,21.9556
0.0381602,22.0033
0.0381639,22.0487
0.0381673,22.0942
0.0381706,22.1396
0.0381738,22.1851
0.0381772,22.2305
0.038181,22.276
0.0381844,22.3214
0.0381877,22.3669
0.0396724,22.4124
0.0396911,22.4578
0.0396959,22.5033
0.0397,22.5487
0.0397037,22.5942
0.0397066,22.6396
0.0397096,22.6851
0.0397129,22.7305
0.0397164,22.776
0.0397197,22.8214
0.0411925,22.8669
0.0412074,22.9124
0.0412121,22.9578
0.0412154,23.0033
0.0412185,23.0467
0.0412215,23.0902
0.0412247,23.1337
0.0412281,23.1772
0.0412313,23.2207
0.0412343,23.2641
0.0424802,23.3076
0.0424883,23.3511
0.0424918,23.3946
0.0424951,23.4381
0.0424988,23.4815
0.0425019,23.525
0.0425051,23.5685
0.0437939,23.612
0.0438018,23.6554
0.0438058,23.6989
0.0441505,23.7424
0.0441639,23.7859
0.0441685,23.8294
0.0441725,23.8728
0.0441756,23.9163
0.0441786,23.9598
