Time,Context,FreqMHz,StaId,SignalDbm,NoiseDbm,SNRdB,PacketSize
0.12091,/NodeList/4/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12091,/NodeList/5/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12091,/NodeList/6/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12091,/NodeList/7/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12091,/NodeList/8/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12091,/NodeList/9/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,183
0.12097,/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/4/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/5/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/6/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/7/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/9/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.12097,/NodeList/10/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,14
0.121038,/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/4/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/5/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/6/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
0.121038,/NodeList/7/DeviceList/0/$ns3::WifiNetDevice/Phy/MonitorSnifferRx,5210,65535,15.971,-93.966,109.937,20
