time,cwnd
9.8e-08,1
0.0513939,2
0.102506,3
0.163543,4
0.204173,5
0.25453,6
0.307074,7
0.357987,8
0.409329,9
0.459432,10
0.511048,11
0.564907,12
0.614299,13
0.664801,14
0.715752,15
0.767017,16
0.817034,16.0625
0.86806,16.125
0.919014,16.1875
0.96924,16.25
1.01908,16.3125
1.06954,16.375
1.12026,16.4375
1.17334,16.5
1.2262,16.5625
1.2757,16.625
1.32794,16.6875
1.38116,16.75
1.42969,16.8125
1.48097,16.875
1.53117,16.9375
1.58159,17
1.63548,17.0588
1.68798,17.1176
1.73879,17.1765
1.79222,17.2353
1.84352,17.2941
1.89469,17.3529
1.94475,17.4118
1.99535,17.4706
2.04628,17.5294
2.09781,17.5882
2.14836,17.6471
2.19818,17.7059
2.25517,17.7647
2.30631,17.8235
2.36173,17.8824
2.41224,17.9412
2.46884,18
3.46902,1
3.52992,2
3.59738,3
3.65017,4
3.70211,5
3.75543,6
3.80519,7
3.86104,8
3.91454,8.125
3.97113,8.25
4.02584,8.375
4.07655,8.5
4.13166,8.625
5.13195,1
5.18715,2
5.2408,3
5.29202,4
5.34423,4.25
5.39411,4.5
5.44545,4.75
6.44642,1
6.50136,2
6.60468,2.5
6.65607,3
6.70755,3.33333
6.77559,3.66667
6.86098,4
6.91583,4.25
6.97544,4.5
7.97605,1
8.03142,2
8.08364,2.5
8.13601,3
8.18751,3.33333
8.24252,3.66667
8.29418,4
8.34614,4.25
9.34757,1
9.40171,2
9.45477,2.5
9.50616,3
9.55595,3.33333
9.60733,3.66667
9.66214,4
9.71207,4.25
9.76433,4.5
9.8164,4.75
9.86648,5
9.91925,5.2
9.96947,5.4
10.0243,5.6
10.0758,5.8
10.127,6
10.1819,6.16667
10.2348,6.33333
10.2841,6.5
11.2851,1
11.3398,2
11.3914,3
11.443,3.33333
11.4934,3.66667
11.5448,4
11.5947,4.25
11.65,4.5
11.7014,4.75
12.7014,1
12.7535,2
12.805,2.5
12.8566,3
12.9068,3.33333
12.9566,3.66667
13.0077,4
13.0591,4.25
13.1096,4.5
13.1637,4.75
13.2206,5
13.2743,5.2
13.3278,5.4
13.3854,5.6
13.4392,5.8
13.4903,6
13.5432,6.16667
13.5942,6.33333
13.651,6.5
13.7012,6.66667
13.7531,6.83333
13.8037,7
13.8543,7.14286
13.9051,7.28571
14.9066,1
14.9591,2
15.0111,3
15.0643,3.33333
15.1181,3.66667
15.1731,4
15.2254,4.25
16.226,1
16.2798,2
16.3334,2.5
16.3905,3
16.4416,3.33333
16.4944,3.66667
16.545,4
16.5955,4.25
16.6473,4.5
16.6983,4.75
16.7541,5
16.8102,5.2
16.861,5.4
16.9128,5.6
16.9634,5.8
17.0148,6
17.0663,6.16667
18.0677,1
18.1235,2
18.1764,3
18.2287,3.33333
18.2808,3.66667
18.3335,4
18.3871,4.25
18.4376,4.5
18.4887,4.75
18.5413,5
18.5916,5.2
18.6428,5.4
18.6957,5.6
18.7681,5.8
18.8205,6
18.8774,6.16667
18.9318,6.33333
18.9857,6.5
19.0428,6.66667
20.0456,1
20.1006,2
20.1543,3
20.2045,3.33333
20.2552,3.66667
20.3054,4
20.3575,4.25
20.4096,4.5
20.4603,4.75
20.5105,5
20.566,5.2
20.618,5.4
20.6692,5.6
20.7277,5.8
20.7842,6
20.8394,6.16667
20.8942,6.33333
20.9492,6.5
21.0034,6.66667
21.0559,6.83333
21.1079,7
22.1099,1
22.1644,2
22.2161,3
22.2664,3.33333
22.3185,3.66667
22.3696,4
22.4194,4.25
22.4703,4.5
22.5218,4.75
22.573,5
22.6236,5.2
22.6744,5.4
22.7272,5.6
22.776,5.8
22.8286,6
22.88,6.16667
22.9353,6.33333
22.9871,6.5
23.0382,6.66667
23.0896,6.83333
23.1484,7
23.2009,7.14286
23.2576,7.28571
23.3093,7.42857
23.3624,7.57143
23.4411,7.71429
23.4964,7.85714
23.5456,8
23.5963,8.125
23.6522,8.25
23.7044,8.375
23.7553,8.5
23.8093,8.625
23.8615,8.75
23.9128,8.875
23.9751,9
24.0269,9.11111
24.0783,9.22222
24.1299,9.33333
24.1819,9.44444
24.2371,9.55556
24.2857,9.66667
24.3376,9.77778
24.3897,9.88889
24.4453,10
24.5028,10.1
24.5532,10.2
24.6049,10.3
24.655,10.4
24.71,10.5
24.7616,10.6
24.8132,10.7
24.8635,10.8
24.9164,10.9
25.9174,1
25.9725,2
26.0256,3
27.0272,1
27.0838,2
27.1368,2.5
28.1431,1
28.2106,2
28.2644,2.5
28.3728,3
28.4254,3.33333
28.4774,3.66667
28.5289,4
28.5808,4.25
28.6327,4.5
28.6893,4.75
28.7441,5
28.8006,5.2
28.8514,5.4
28.9041,5.6
28.9591,5.8
29.0189,6
30.0197,1
30.0733,2
30.1284,3
30.1795,3.33333
30.2301,3.66667
30.2852,4
30.3372,4.25
30.3891,4.5
30.4406,4.75
30.4919,5
30.5442,5.2
30.5957,5.4
30.6463,5.6
30.6993,5.8
30.7519,6
30.8034,6.16667
30.8544,6.33333
30.913,6.5
30.9684,6.66667
31.019,6.83333
31.0711,7
31.1221,7.14286
31.1722,7.28571
31.2231,7.42857
31.275,7.57143
31.328,7.71429
31.3777,7.85714
31.4278,8
31.4803,8.125
31.5345,8.25
32.5354,1
32.5887,2
32.6407,3
